,iter,index,max_devi_f,min_devi_f,avg_devi_f
0,,,0.02452237,0.005328651,0.01315161
1,,,0.03026244,0.00676404,0.01573134
2,,,0.04275456,0.005379449,0.01755274
3,,,0.03336449,0.007171821,0.01600385
4,,,0.03084628,0.007453594,0.01559538
5,,,0.0351246,0.005838955,0.01515444
6,,,0.02542949,0.004666451,0.01382978
7,,,0.03867431,0.007181314,0.01519831
8,,,0.02799774,0.005148462,0.01581142
9,,,0.03017925,0.006413467,0.01556814
10,,,0.04082147,0.005521557,0.01547395
11,,,0.0320178,0.002642353,0.01450677
12,,,0.03443581,0.005955556,0.01486205
13,,,0.04310214,0.005487405,0.01713134
14,,,0.08283442,0.008392458,0.01948204
15,,,0.1138563,0.006303364,0.01898513
16,,,0.04054303,0.005301357,0.01758585
17,,,0.03674697,0.005250512,0.01659475
18,,,0.03243942,0.006388183,0.0152682
19,,,0.02792013,0.004959554,0.01357477
20,,,0.04165863,0.006343707,0.01515132
21,,,0.03069403,0.006632932,0.01493132
22,,,0.03344729,0.00500623,0.01524089
23,,,0.02801574,0.003994471,0.01487291
24,,,0.02754318,0.006717268,0.01507934
25,,,0.03500878,0.006024834,0.01632251
26,,,0.04756386,0.00827813,0.01731839
27,,,0.04782539,0.005939681,0.01914703
28,,,0.04238127,0.007695367,0.01853189
29,,,0.03579777,0.004907176,0.01686549
30,,,0.04342258,0.007365041,0.01645536
31,,,0.04555095,0.006968337,0.01735305
32,,,0.03719057,0.006847284,0.01594199
33,,,0.04127086,0.007512849,0.01680878
34,,,0.06553966,0.005223248,0.01746734
35,,,0.04112673,0.006759866,0.01727527
36,,,0.04269456,0.007663826,0.01799528
37,,,0.07816953,0.006303267,0.01824079
38,,,0.04004314,0.007033515,0.01753487
39,,,0.03423225,0.006531078,0.01598833
40,,,0.04095376,0.005384612,0.01679094
41,,,0.0438158,0.004715152,0.01760691
42,,,0.03536413,0.005420217,0.01552586
43,,,0.04644667,0.005360642,0.01478831
44,,,0.03244203,0.005537568,0.01458845
45,,,0.03765744,0.006150756,0.01518089
46,,,0.03440623,0.00685196,0.01501049
47,,,0.04231949,0.006695224,0.01571152
48,,,0.03360438,0.00439314,0.01568563
49,,,0.04055269,0.006439668,0.01620737
50,,,0.03984779,0.004366684,0.01672851
51,,,0.03249425,0.005461316,0.0161328
52,,,0.03274904,0.004908232,0.01430571
53,,,0.03073508,0.004354199,0.01494227
54,,,0.03797283,0.005775223,0.01460995
55,,,0.02947649,0.006373244,0.01521216
56,,,0.03990186,0.004886579,0.01726741
57,,,0.04952825,0.004531996,0.01690666
58,,,0.0762202,0.005547055,0.01645687
59,,,0.04424798,0.007251617,0.01674433
60,,,0.03401904,0.006895397,0.01690534
61,,,0.03423468,0.006003281,0.01760273
62,,,0.03596479,0.006339239,0.01911966
63,,,0.04893605,0.006035448,0.02045673
64,,,0.05476358,0.00717263,0.0193804
65,,,0.04719862,0.006863043,0.01826303
66,,,0.03608009,0.007102226,0.01599349
67,,,0.02779161,0.00454007,0.01379534
68,,,0.0389052,0.007726357,0.01505801
