epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  1.2457435384e+02     2.1795418466e-02  2.1306882825e-01   49.6781
    2  1.9338497455e+00     2.7139585588e-03  5.4858780476e-02   47.6792
    3  2.5366754803e-01     9.8194952316e-04  3.0029731052e-02   47.6101
    4  2.0705759578e-01     8.8688502855e-04  2.9398746534e-02   47.7384
    5  1.2122206669e-01     6.7764437889e-04  2.9069618250e-02   47.8446
    6  1.0101850518e-01     6.1821452618e-04  2.8807975269e-02   47.7133
    7  5.1207702786e-02     4.3840329674e-04  2.8710525927e-02   47.7815
    8  3.1241612931e-02     3.4065727502e-04  2.8644175743e-02   47.8852
    9  2.3491330291e-02     2.9410593124e-04  2.8571318700e-02   47.7921
   10  2.2130740470e-02     2.8515961581e-04  2.8534843004e-02   47.7468
   11  1.8822687056e-02     2.6211074112e-04  2.8510687874e-02   47.8534
   12  1.7622576154e-02     2.5322812592e-04  2.8508375678e-02   47.8474
   13  1.6933923646e-02     2.4799226854e-04  2.8496040528e-02   47.7871
   14  1.6087064396e-02     2.4139869679e-04  2.8479121536e-02   47.6812
   15  1.6315587476e-02     2.4320056135e-04  2.8472512371e-02   47.6891
   16  1.5483592332e-02     2.3658627497e-04  2.8470845591e-02   47.7401
   17  1.4609470437e-02     2.2943290516e-04  2.8466688730e-02   47.6389
   18  1.4003795944e-02     2.2433268900e-04  2.8484353922e-02   47.6478
   19  1.3246742778e-02     2.1780735035e-04  2.8471396935e-02   47.8133
   20  1.3302649006e-02     2.1829666309e-04  2.8470817266e-02   47.8329
   21  1.3161659775e-02     2.1706942865e-04  2.8454538531e-02   47.5143
   22  1.2358960492e-02     2.0989614353e-04  2.8457721478e-02   47.6041
   23  1.2094802922e-02     2.0747930608e-04  2.8462545490e-02   47.6225
   24  1.1786918933e-02     2.0462284949e-04  2.8474827822e-02   47.7809
   25  1.1188348661e-02     1.9897013944e-04  2.8465757210e-02   47.6367
   26  1.0854574218e-02     1.9573947939e-04  2.8474615661e-02   47.7951
   27  1.0742245084e-02     1.9464867879e-04  2.8462341087e-02   47.7350
   28  1.0395906832e-02     1.9122242670e-04  2.8466559494e-02   47.7780
   29  1.0068563061e-02     1.8792885913e-04  2.8466757448e-02   47.7408
   30  9.7828602247e-03     1.8500479899e-04  2.8469568821e-02   47.8610
