Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -615.919     -622.929        7.010   423.7
0.1000         -625.280     -630.472        5.192   313.8
0.1500         -635.222     -636.663        1.441    87.1
0.2000         -630.851     -638.736        7.885   476.6
0.2500         -634.711     -638.097        3.387   204.7
0.3000         -634.144     -640.197        6.052   365.8
0.3500         -637.608     -641.190        3.582   216.5
0.4000         -637.197     -643.024        5.827   352.2
0.4500         -639.558     -643.074        3.516   212.5
0.5000         -636.610     -643.370        6.761   408.6
0.5500         -640.244     -643.572        3.328   201.2
0.6000         -638.754     -644.796        6.041   365.1
0.6500         -640.740     -644.537        3.797   229.5
0.7000         -639.337     -644.884        5.547   335.3
0.7500         -641.245     -645.237        3.992   241.3
0.8000         -640.908     -646.438        5.530   334.2
0.8500         -641.627     -645.805        4.178   252.5
0.9000         -641.180     -646.460        5.281   319.2
0.9500         -643.179     -646.929        3.750   226.7
1.0000         -641.551     -647.539        5.988   361.9
1.0500         -643.428     -647.679        4.251   256.9
1.1000         -642.797     -648.200        5.404   326.6
1.1500         -643.727     -648.025        4.298   259.8
1.2000         -642.288     -648.164        5.876   355.1
1.2500         -642.695     -647.428        4.733   286.1
1.3000         -642.892     -647.922        5.030   304.0
1.3500         -643.511     -648.264        4.753   287.3
1.4000         -643.638     -648.938        5.300   320.3
1.4500         -644.742     -649.060        4.319   261.0
1.5000         -643.673     -649.134        5.461   330.0
1.5500         -644.572     -649.091        4.519   273.1
1.6000         -643.316     -648.971        5.655   341.8
1.6500         -643.414     -648.208        4.794   289.8
1.7000         -643.985     -648.661        4.676   282.6
1.7500         -644.991     -649.397        4.406   266.3
1.8000         -644.475     -649.561        5.086   307.4
1.8500         -644.695     -650.101        5.406   326.7
1.9000         -645.669     -650.381        4.711   284.8
1.9500         -644.357     -649.780        5.423   327.8
2.0000         -644.519     -648.770        4.251   256.9
2.0500         -644.465     -649.507        5.042   304.7
2.1000         -644.821     -649.500        4.679   282.8
2.1500         -644.554     -649.934        5.380   325.2
2.2000         -645.714     -650.626        4.912   296.9
2.2500         -645.332     -650.365        5.033   304.2
2.3000         -645.504     -650.089        4.584   277.1
2.3500         -645.619     -650.388        4.769   288.3
2.4000         -645.244     -649.649        4.404   266.2
2.4500         -644.392     -649.722        5.330   322.1
2.5000         -645.682     -650.280        4.598   277.9
2.5500         -645.632     -650.873        5.240   316.7
2.6000         -645.844     -650.905        5.061   305.9
2.6500         -646.284     -650.733        4.449   268.9
2.7000         -645.577     -650.724        5.146   311.0
2.7500         -646.683     -651.129        4.446   268.7
2.8000         -646.620     -651.152        4.532   273.9
2.8500         -645.418     -650.897        5.479   331.2
2.9000         -646.831     -651.693        4.863   293.9
2.9500         -646.627     -651.971        5.345   323.0
3.0000         -646.860     -651.997        5.137   310.5
3.0500         -647.031     -651.928        4.897   296.0
3.1000         -646.933     -652.031        5.098   308.1
3.1500         -647.464     -651.945        4.481   270.8
3.2000         -646.443     -652.111        5.667   342.5
3.2500         -648.310     -652.325        4.015   242.7
3.3000         -646.799     -651.786        4.986   301.4
3.3500         -646.204     -651.675        5.471   330.7
3.4000         -647.828     -652.478        4.650   281.1
3.4500         -647.220     -652.530        5.310   320.9
3.5000         -647.430     -652.426        4.995   301.9
3.5500         -647.689     -653.082        5.393   326.0
3.6000         -648.331     -653.037        4.706   284.4
3.6500         -647.955     -652.877        4.922   297.5
3.7000         -646.979     -652.348        5.369   324.5
3.7500         -646.941     -652.168        5.226   315.9
3.8000         -647.791     -652.669        4.878   294.8
3.8500         -648.157     -653.004        4.847   292.9
3.9000         -648.081     -653.168        5.087   307.5
3.9500         -648.402     -652.830        4.428   267.6
4.0000         -647.093     -652.865        5.772   348.9
4.0500         -648.354     -653.357        5.003   302.4
4.1000         -647.954     -653.209        5.256   317.6
4.1500         -648.304     -653.106        4.802   290.2
4.2000         -649.369     -653.601        4.233   255.8
4.2500         -648.371     -653.291        4.920   297.4
4.3000         -648.335     -653.134        4.799   290.0
4.3500         -647.954     -653.426        5.472   330.7
4.4000         -648.579     -653.386        4.807   290.6
4.4500         -648.810     -653.635        4.826   291.7
4.5000         -648.689     -653.317        4.628   279.7
4.5500         -648.375     -653.083        4.708   284.5
4.6000         -648.310     -653.625        5.315   321.2
4.6500         -649.033     -653.886        4.853   293.3
4.7000         -648.881     -654.084        5.203   314.4
4.7500         -649.174     -653.775        4.601   278.1
4.8000         -648.445     -653.397        4.952   299.3
4.8500         -648.950     -653.174        4.224   255.3
4.9000         -648.168     -653.348        5.180   313.1
4.9500         -648.712     -653.207        4.495   271.7
5.0000         -648.387     -653.190        4.803   290.3
