Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.972     -687.722        5.750   347.5
0.1000         -671.718     -679.470        7.752   468.6
0.1500         -684.318     -687.024        2.706   163.5
0.2000         -686.050     -688.330        2.280   137.8
0.2500         -677.037     -685.487        8.450   510.7
0.3000         -681.995     -686.423        4.428   267.7
0.3500         -684.065     -687.950        3.885   234.8
0.4000         -677.520     -685.137        7.618   460.4
0.4500         -681.979     -686.208        4.229   255.6
0.5000         -684.874     -688.615        3.741   226.1
0.5500         -680.998     -685.863        4.865   294.1
0.6000         -675.948     -682.603        6.655   402.2
0.6500         -680.432     -686.069        5.637   340.7
0.7000         -685.829     -689.332        3.503   211.7
0.7500         -681.556     -686.779        5.223   315.7
0.8000         -676.422     -682.127        5.705   344.8
0.8500         -678.905     -684.097        5.193   313.8
0.9000         -685.447     -688.986        3.539   213.9
0.9500         -682.511     -687.022        4.511   272.7
1.0000         -677.231     -684.803        7.572   457.6
1.0500         -683.252     -686.693        3.442   208.0
1.1000         -682.255     -685.849        3.593   217.2
1.1500         -678.192     -685.104        6.911   417.7
1.2000         -684.373     -688.498        4.125   249.3
1.2500         -683.724     -687.509        3.785   228.8
1.3000         -674.160     -681.900        7.740   467.8
1.3500         -680.310     -684.422        4.112   248.5
1.4000         -686.137     -688.956        2.819   170.4
1.4500         -682.875     -687.321        4.446   268.7
1.5000         -674.763     -681.880        7.116   430.1
1.5500         -680.773     -686.472        5.699   344.5
1.6000         -684.713     -688.429        3.716   224.6
1.6500         -682.285     -687.036        4.751   287.1
1.7000         -678.237     -683.728        5.491   331.9
1.7500         -681.402     -685.936        4.534   274.1
1.8000         -682.986     -687.271        4.285   259.0
1.8500         -680.050     -686.230        6.180   373.5
1.9000         -680.997     -686.057        5.060   305.8
1.9500         -683.372     -687.719        4.347   262.7
2.0000         -682.177     -685.509        3.332   201.4
2.0500         -674.901     -682.352        7.451   450.3
2.1000         -683.078     -688.036        4.958   299.6
2.1500         -686.202     -688.505        2.302   139.2
2.2000         -676.817     -684.734        7.916   478.5
2.2500         -677.223     -682.123        4.900   296.2
2.3000         -685.140     -688.516        3.376   204.1
2.3500         -682.994     -687.701        4.706   284.4
2.4000         -678.560     -684.021        5.462   330.1
2.4500         -680.076     -685.523        5.447   329.2
2.5000         -683.530     -687.528        3.998   241.7
2.5500         -680.467     -685.787        5.320   321.5
2.6000         -680.236     -686.305        6.069   366.8
2.6500         -683.656     -687.702        4.047   244.6
2.7000         -682.023     -686.377        4.354   263.1
2.7500         -678.029     -684.107        6.078   367.4
2.8000         -679.566     -684.968        5.403   326.5
2.8500         -685.600     -689.062        3.462   209.2
2.9000         -682.798     -686.969        4.171   252.1
2.9500         -675.902     -681.897        5.995   362.3
3.0000         -679.533     -685.542        6.009   363.2
3.0500         -686.199     -688.845        2.646   159.9
3.1000         -681.264     -686.192        4.927   297.8
3.1500         -676.639     -683.400        6.760   408.6
3.2000         -683.093     -686.566        3.474   210.0
3.2500         -682.956     -687.460        4.504   272.2
3.3000         -678.954     -685.539        6.585   398.0
3.3500         -683.463     -687.511        4.048   244.7
3.4000         -682.559     -686.866        4.307   260.3
3.4500         -678.272     -683.154        4.883   295.1
3.5000         -679.733     -685.194        5.461   330.1
3.5500         -684.254     -688.564        4.310   260.5
3.6000         -683.678     -687.303        3.626   219.2
3.6500         -676.566     -683.569        7.002   423.2
3.7000         -678.952     -684.224        5.272   318.6
3.7500         -684.154     -688.129        3.975   240.3
3.8000         -683.924     -688.127        4.203   254.0
3.8500         -677.614     -684.101        6.488   392.1
3.9000         -680.696     -686.057        5.360   324.0
3.9500         -683.988     -687.595        3.607   218.0
4.0000         -679.882     -685.554        5.672   342.8
4.0500         -681.116     -686.686        5.570   336.6
4.1000         -685.097     -688.520        3.423   206.9
4.1500         -678.801     -685.195        6.394   386.4
4.2000         -676.266     -683.006        6.740   407.4
4.2500         -684.344     -687.600        3.257   196.8
4.3000         -684.826     -688.410        3.584   216.6
4.3500         -678.289     -683.699        5.410   327.0
4.4000         -677.300     -683.861        6.561   396.5
4.4500         -684.303     -688.004        3.701   223.7
4.5000         -682.844     -687.213        4.368   264.0
4.5500         -679.699     -685.248        5.548   335.3
4.6000         -681.328     -685.700        4.372   264.3
4.6500         -682.623     -686.719        4.096   247.6
4.7000         -679.326     -685.373        6.047   365.5
4.7500         -680.849     -686.439        5.590   337.9
4.8000         -684.629     -688.326        3.696   223.4
4.8500         -682.014     -686.772        4.759   287.6
4.9000         -676.641     -681.591        4.950   299.2
4.9500         -679.733     -685.765        6.032   364.6
5.0000         -686.481     -689.468        2.987   180.5
