Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.689     -687.332        5.643   341.1
0.1000         -672.498     -679.321        6.823   412.4
0.1500         -685.050     -687.295        2.245   135.7
0.2000         -685.851     -688.110        2.259   136.5
0.2500         -676.308     -684.909        8.601   519.8
0.3000         -679.626     -685.455        5.829   352.3
0.3500         -684.938     -688.466        3.528   213.2
0.4000         -679.837     -686.042        6.204   375.0
0.4500         -680.303     -684.822        4.519   273.1
0.5000         -685.166     -688.162        2.995   181.0
0.5500         -681.217     -686.123        4.906   296.5
0.6000         -675.113     -682.807        7.694   465.0
0.6500         -682.420     -687.858        5.438   328.7
0.7000         -686.507     -689.409        2.902   175.4
0.7500         -677.408     -684.374        6.965   421.0
0.8000         -676.169     -681.880        5.711   345.2
0.8500         -683.720     -687.484        3.764   227.5
0.9000         -684.748     -689.059        4.311   260.6
0.9500         -678.907     -685.068        6.161   372.4
1.0000         -678.748     -684.762        6.014   363.5
1.0500         -682.551     -686.630        4.079   246.5
1.1000         -683.159     -686.726        3.566   215.6
1.1500         -679.049     -685.699        6.650   401.9
1.2000         -682.494     -687.989        5.495   332.1
1.2500         -684.071     -687.451        3.380   204.3
1.3000         -676.278     -683.661        7.383   446.2
1.3500         -680.231     -684.558        4.327   261.5
1.4000         -685.672     -689.070        3.398   205.4
1.4500         -683.141     -687.458        4.317   260.9
1.5000         -674.300     -681.835        7.535   455.4
1.5500         -682.185     -687.360        5.175   312.7
1.6000         -685.950     -688.987        3.036   183.5
1.6500         -680.073     -685.518        5.445   329.1
1.7000         -678.460     -684.553        6.093   368.2
1.7500         -684.205     -687.573        3.368   203.5
1.8000         -681.153     -686.903        5.749   347.5
1.8500         -679.676     -685.660        5.985   361.7
1.9000         -684.466     -688.072        3.605   217.9
1.9500         -682.670     -687.371        4.701   284.1
2.0000         -677.717     -683.138        5.422   327.7
2.0500         -679.352     -685.474        6.122   370.0
2.1000         -685.062     -688.817        3.755   226.9
2.1500         -683.989     -687.890        3.901   235.8
2.2000         -675.707     -683.622        7.915   478.4
2.2500         -679.651     -684.946        5.295   320.0
2.3000         -685.247     -688.649        3.402   205.6
2.3500         -682.148     -687.515        5.367   324.4
2.4000         -678.870     -685.061        6.191   374.2
2.4500         -683.479     -687.606        4.127   249.5
2.5000         -681.944     -686.636        4.692   283.6
2.5500         -677.715     -684.477        6.762   408.7
2.6000         -683.715     -688.476        4.761   287.8
2.6500         -685.058     -688.539        3.481   210.4
2.7000         -677.733     -683.036        5.304   320.5
2.7500         -676.170     -683.772        7.602   459.5
2.8000         -686.097     -688.792        2.694   162.9
2.8500         -684.154     -687.937        3.783   228.7
2.9000         -675.647     -682.594        6.946   419.8
2.9500         -680.892     -685.333        4.441   268.4
3.0000         -684.201     -688.594        4.393   265.5
3.0500         -681.561     -686.222        4.661   281.7
3.1000         -679.828     -685.189        5.361   324.0
3.1500         -682.640     -686.719        4.079   246.5
3.2000         -682.368     -686.604        4.236   256.0
3.2500         -677.820     -684.178        6.359   384.3
3.3000         -682.043     -686.833        4.790   289.5
3.3500         -685.000     -688.340        3.341   201.9
3.4000         -680.343     -685.635        5.291   319.8
3.4500         -675.451     -681.180        5.729   346.3
3.5000         -682.785     -687.438        4.653   281.2
3.5500         -686.333     -689.126        2.793   168.8
3.6000         -678.613     -684.932        6.319   381.9
3.6500         -675.638     -682.803        7.165   433.0
3.7000         -684.110     -687.486        3.376   204.0
3.7500         -684.549     -688.179        3.630   219.4
3.8000         -677.382     -684.829        7.447   450.1
3.8500         -682.022     -686.738        4.716   285.0
3.9000         -683.663     -687.427        3.764   227.5
3.9500         -678.159     -685.079        6.920   418.3
4.0000         -681.531     -686.009        4.478   270.7
4.0500         -685.191     -688.761        3.571   215.8
4.1000         -680.557     -685.545        4.987   301.4
4.1500         -676.067     -683.337        7.270   439.4
4.2000         -682.977     -688.082        5.104   308.5
4.2500         -685.534     -688.602        3.067   185.4
4.3000         -678.637     -684.392        5.755   347.8
4.3500         -678.090     -682.955        4.865   294.1
4.4000         -683.116     -686.894        3.778   228.3
4.4500         -683.238     -687.961        4.724   285.5
4.5000         -680.182     -686.091        5.910   357.2
4.5500         -681.786     -686.694        4.909   296.7
4.6000         -682.807     -686.901        4.095   247.5
4.6500         -679.856     -684.139        4.283   258.9
4.7000         -679.133     -685.708        6.575   397.4
4.7500         -685.734     -688.973        3.239   195.8
4.8000         -682.611     -687.144        4.533   274.0
4.8500         -673.551     -681.940        8.388   507.0
4.9000         -682.408     -686.316        3.908   236.2
4.9500         -685.593     -688.997        3.404   205.7
5.0000         -680.613     -686.103        5.491   331.9
