Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.747     -687.864        6.116   369.7
0.1000         -672.630     -680.011        7.381   446.1
0.1500         -683.812     -686.903        3.091   186.8
0.2000         -685.891     -688.276        2.386   144.2
0.2500         -678.436     -685.318        6.883   416.0
0.3000         -679.037     -684.840        5.803   350.7
0.3500         -683.419     -688.048        4.629   279.8
0.4000         -681.775     -687.143        5.368   324.5
0.4500         -680.052     -684.806        4.754   287.3
0.5000         -682.033     -686.634        4.601   278.1
0.5500         -683.640     -687.354        3.715   224.5
0.6000         -679.474     -685.624        6.150   371.7
0.6500         -677.301     -684.468        7.167   433.2
0.7000         -685.127     -688.833        3.706   224.0
0.7500         -684.464     -688.026        3.562   215.3
0.8000         -675.723     -681.866        6.144   371.3
0.8500         -677.972     -683.461        5.489   331.8
0.9000         -686.167     -689.474        3.306   199.8
0.9500         -683.970     -687.664        3.694   223.3
1.0000         -672.901     -682.185        9.284   561.1
1.0500         -681.029     -685.925        4.897   296.0
1.1000         -686.075     -688.486        2.411   145.7
1.1500         -679.545     -686.263        6.718   406.0
1.2000         -678.849     -685.160        6.311   381.4
1.2500         -684.312     -687.654        3.343   202.0
1.3000         -680.332     -686.379        6.047   365.5
1.3500         -679.680     -684.701        5.020   303.4
1.4000         -684.051     -688.299        4.248   256.8
1.4500         -683.547     -687.562        4.014   242.6
1.5000         -676.734     -682.859        6.125   370.2
1.5500         -679.367     -685.566        6.199   374.7
1.6000         -685.095     -688.772        3.677   222.3
1.6500         -683.584     -687.681        4.096   247.6
1.7000         -676.882     -682.802        5.920   357.8
1.7500         -678.387     -684.269        5.881   355.5
1.8000         -685.005     -688.939        3.934   237.7
1.8500         -683.909     -687.737        3.828   231.4
1.9000         -677.421     -683.500        6.080   367.4
1.9500         -681.811     -686.370        4.559   275.5
2.0000         -683.738     -687.059        3.320   200.7
2.0500         -678.262     -685.502        7.240   437.6
2.1000         -682.611     -687.406        4.795   289.8
2.1500         -684.833     -687.970        3.136   189.6
2.2000         -677.751     -684.700        6.949   420.0
2.2500         -677.528     -683.288        5.760   348.2
2.3000         -685.540     -689.009        3.469   209.7
2.3500         -684.234     -687.959        3.724   225.1
2.4000         -675.466     -682.219        6.753   408.2
2.4500         -680.215     -685.291        5.075   306.8
2.5000         -684.753     -688.592        3.839   232.0
2.5500         -681.738     -686.667        4.929   297.9
2.6000         -677.995     -685.070        7.075   427.6
2.6500         -682.655     -686.906        4.250   256.9
2.7000         -682.721     -686.949        4.228   255.6
2.7500         -678.532     -685.061        6.530   394.6
2.8000         -682.065     -686.839        4.774   288.5
2.8500         -684.234     -688.244        4.010   242.4
2.9000         -680.227     -685.101        4.874   294.6
2.9500         -677.312     -683.227        5.916   357.5
3.0000         -682.446     -687.368        4.921   297.4
3.0500         -685.592     -688.330        2.738   165.5
3.1000         -677.909     -684.674        6.766   408.9
3.1500         -677.182     -682.839        5.657   341.9
3.2000         -684.219     -687.809        3.590   217.0
3.2500         -683.623     -688.260        4.637   280.3
3.3000         -678.102     -684.409        6.307   381.2
3.3500         -682.586     -686.876        4.290   259.3
3.4000         -683.427     -686.989        3.562   215.3
3.4500         -678.075     -683.811        5.736   346.7
3.5000         -682.336     -687.271        4.935   298.3
3.5500         -685.543     -688.786        3.243   196.0
3.6000         -678.825     -684.657        5.833   352.5
3.6500         -676.249     -683.276        7.026   424.7
3.7000         -684.600     -688.240        3.640   220.0
3.7500         -684.910     -688.289        3.379   204.2
3.8000         -677.053     -683.770        6.717   406.0
3.8500         -679.507     -684.756        5.249   317.2
3.9000         -684.004     -687.941        3.938   238.0
3.9500         -681.587     -686.918        5.332   322.3
4.0000         -680.319     -686.040        5.721   345.8
4.0500         -683.017     -687.101        4.085   246.9
4.1000         -681.400     -686.359        4.960   299.8
4.1500         -678.703     -684.243        5.540   334.8
4.2000         -681.679     -687.261        5.581   337.3
4.2500         -684.698     -688.336        3.638   219.9
4.3000         -680.888     -685.835        4.947   299.0
4.3500         -676.254     -681.929        5.675   343.0
4.4000         -682.485     -686.988        4.503   272.1
4.4500         -685.361     -688.821        3.461   209.2
4.5000         -679.507     -685.377        5.870   354.8
4.5500         -678.958     -685.153        6.196   374.5
4.6000         -683.618     -687.324        3.706   224.0
4.6500         -682.038     -686.080        4.042   244.3
4.7000         -678.397     -685.604        7.208   435.6
4.7500         -684.975     -688.140        3.165   191.3
4.8000         -681.926     -686.905        4.979   301.0
4.8500         -675.391     -683.136        7.745   468.1
4.9000         -682.711     -686.662        3.950   238.8
4.9500         -685.343     -688.682        3.339   201.8
5.0000         -679.901     -685.141        5.239   316.7
