Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -661.560     -666.825        5.265   318.2
0.1000         -653.891     -663.032        9.141   552.5
0.1500         -669.495     -672.277        2.783   168.2
0.2000         -673.155     -676.263        3.108   187.8
0.2500         -667.162     -672.682        5.520   333.7
0.3000         -666.732     -671.611        4.879   294.9
0.3500         -672.441     -678.830        6.388   386.1
0.4000         -679.557     -683.402        3.845   232.4
0.4500         -672.007     -678.690        6.683   403.9
0.5000         -677.292     -681.028        3.736   225.8
0.5500         -678.857     -681.979        3.122   188.7
0.6000         -679.105     -685.439        6.333   382.8
0.6500         -674.839     -680.968        6.128   370.4
0.7000         -681.273     -685.870        4.597   277.8
0.7500         -680.445     -683.329        2.885   174.4
0.8000         -680.831     -685.962        5.132   310.2
0.8500         -674.441     -682.094        7.653   462.6
0.9000         -682.439     -687.045        4.607   278.4
0.9500         -679.894     -682.675        2.781   168.1
1.0000         -680.137     -684.364        4.227   255.5
1.0500         -673.932     -680.610        6.678   403.6
1.1000         -681.961     -688.236        6.275   379.3
1.1500         -677.539     -681.363        3.824   231.1
1.2000         -676.490     -681.857        5.367   324.4
1.2500         -675.215     -679.053        3.838   232.0
1.3000         -681.579     -685.320        3.741   226.1
1.3500         -674.545     -680.618        6.073   367.1
1.4000         -674.305     -680.460        6.156   372.1
1.4500         -678.114     -681.528        3.414   206.3
1.5000         -679.247     -682.375        3.128   189.1
1.5500         -676.519     -682.075        5.556   335.8
1.6000         -671.908     -679.658        7.750   468.4
1.6500         -681.184     -684.952        3.768   227.7
1.7000         -676.080     -680.562        4.483   270.9
1.7500         -679.024     -682.373        3.350   202.5
1.8000         -673.842     -679.276        5.433   328.4
1.8500         -682.541     -687.785        5.244   317.0
1.9000         -676.879     -681.404        4.525   273.5
1.9500         -677.115     -683.744        6.629   400.6
2.0000         -678.313     -681.467        3.154   190.6
2.0500         -684.173     -688.158        3.985   240.8
2.1000         -675.121     -681.458        6.337   383.0
2.1500         -678.296     -684.463        6.166   372.7
2.2000         -679.191     -683.576        4.385   265.0
2.2500         -683.609     -686.449        2.840   171.6
2.3000         -673.501     -680.741        7.241   437.6
2.3500         -679.887     -683.794        3.907   236.1
2.4000         -679.539     -684.442        4.903   296.4
2.4500         -679.481     -683.378        3.897   235.5
2.5000         -672.909     -680.680        7.771   469.7
2.5500         -680.969     -683.865        2.895   175.0
2.6000         -677.100     -682.155        5.055   305.5
2.6500         -674.328     -679.288        4.960   299.8
2.7000         -672.241     -679.920        7.678   464.1
2.7500         -680.412     -683.619        3.207   193.9
2.8000         -677.325     -682.371        5.046   305.0
2.8500         -673.273     -677.642        4.369   264.1
2.9000         -672.077     -679.334        7.257   438.6
2.9500         -681.367     -684.060        2.693   162.8
3.0000         -677.836     -683.102        5.266   318.3
3.0500         -673.928     -678.783        4.855   293.4
3.1000         -673.899     -680.727        6.828   412.7
3.1500         -682.875     -685.672        2.797   169.0
3.2000         -678.278     -683.893        5.615   339.4
3.2500         -676.805     -681.172        4.367   264.0
3.3000         -677.549     -683.631        6.082   367.6
3.3500         -683.642     -686.675        3.034   183.3
3.4000         -675.587     -683.488        7.900   477.5
3.4500         -679.301     -684.648        5.347   323.2
3.5000         -680.993     -684.841        3.848   232.6
3.5500         -682.421     -686.220        3.799   229.6
3.6000         -674.354     -681.361        7.007   423.5
3.6500         -681.450     -686.346        4.896   295.9
3.7000         -680.532     -685.141        4.609   278.5
3.7500         -681.986     -685.994        4.008   242.3
3.8000         -673.404     -680.478        7.075   427.6
3.8500         -682.795     -687.157        4.362   263.6
3.9000         -679.843     -684.158        4.315   260.8
3.9500         -679.515     -684.979        5.464   330.2
4.0000         -674.793     -679.925        5.132   310.2
4.0500         -683.130     -687.378        4.248   256.7
4.1000         -678.468     -683.079        4.612   278.7
4.1500         -677.976     -684.730        6.754   408.2
4.2000         -676.219     -681.560        5.341   322.8
4.2500         -684.425     -687.754        3.329   201.2
4.3000         -676.182     -681.439        5.257   317.7
4.3500         -676.878     -682.698        5.820   351.8
4.4000         -678.862     -683.883        5.020   303.4
4.4500         -683.434     -687.449        4.015   242.7
4.5000         -675.092     -681.333        6.241   377.2
4.5500         -676.066     -681.616        5.549   335.4
4.6000         -680.452     -684.831        4.379   264.7
4.6500         -682.711     -686.072        3.361   203.1
4.7000         -673.943     -681.177        7.234   437.2
4.7500         -676.399     -682.025        5.626   340.0
4.8000         -681.412     -685.581        4.169   252.0
4.8500         -680.293     -684.980        4.687   283.3
4.9000         -675.923     -681.506        5.583   337.4
4.9500         -677.144     -682.416        5.272   318.6
5.0000         -681.287     -685.965        4.678   282.7
