Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.503     -687.511        6.007   363.1
0.1000         -672.323     -679.245        6.922   418.4
0.1500         -685.088     -687.428        2.340   141.5
0.2000         -686.057     -688.171        2.114   127.8
0.2500         -676.118     -684.311        8.193   495.2
0.3000         -677.123     -683.995        6.872   415.3
0.3500         -685.237     -689.188        3.951   238.8
0.4000         -683.485     -687.840        4.355   263.2
0.4500         -677.087     -681.872        4.785   289.2
0.5000         -679.731     -684.605        4.874   294.6
0.5500         -683.981     -687.768        3.787   228.9
0.6000         -681.929     -687.759        5.830   352.4
0.6500         -677.822     -684.564        6.743   407.5
0.7000         -682.196     -686.821        4.625   279.5
0.7500         -683.629     -687.188        3.559   215.1
0.8000         -679.979     -684.569        4.590   277.4
0.8500         -678.551     -684.490        5.940   359.0
0.9000         -685.168     -688.969        3.801   229.7
0.9500         -682.430     -686.818        4.388   265.2
1.0000         -674.605     -682.625        8.020   484.7
1.0500         -682.553     -686.464        3.912   236.4
1.1000         -686.033     -688.400        2.367   143.1
1.1500         -678.125     -684.591        6.466   390.8
1.2000         -676.829     -684.855        8.025   485.1
1.2500         -685.683     -688.723        3.040   183.7
1.3000         -682.800     -687.213        4.412   266.7
1.3500         -676.554     -681.613        5.060   305.8
1.4000         -682.885     -687.031        4.146   250.6
1.4500         -684.689     -688.262        3.573   215.9
1.5000         -676.921     -684.904        7.983   482.5
1.5500         -682.205     -687.450        5.245   317.0
1.6000         -685.026     -688.103        3.077   186.0
1.6500         -679.715     -685.038        5.323   321.7
1.7000         -677.412     -683.445        6.034   364.7
1.7500         -683.419     -687.781        4.362   263.6
1.8000         -684.368     -688.804        4.436   268.1
1.8500         -679.622     -684.967        5.346   323.1
1.9000         -677.257     -683.050        5.792   350.1
1.9500         -683.490     -687.565        4.074   246.2
2.0000         -684.704     -687.738        3.034   183.4
2.0500         -676.965     -684.597        7.631   461.2
2.1000         -680.174     -685.888        5.713   345.3
2.1500         -684.922     -688.126        3.204   193.7
2.2000         -680.223     -686.413        6.190   374.1
2.2500         -679.132     -684.606        5.474   330.8
2.3000         -685.245     -688.713        3.468   209.6
2.3500         -682.409     -687.172        4.763   287.9
2.4000         -676.451     -682.621        6.169   372.9
2.4500         -683.335     -687.800        4.465   269.9
2.5000         -685.535     -688.534        2.999   181.3
2.5500         -677.315     -684.252        6.936   419.2
2.6000         -678.725     -685.485        6.760   408.6
2.6500         -685.317     -688.242        2.925   176.8
2.7000         -681.910     -686.598        4.689   283.4
2.7500         -677.707     -684.045        6.338   383.1
2.8000         -682.785     -686.763        3.978   240.4
2.8500         -683.491     -687.962        4.471   270.3
2.9000         -678.959     -685.187        6.228   376.4
2.9500         -681.899     -686.047        4.148   250.7
3.0000         -683.866     -687.922        4.056   245.2
3.0500         -681.883     -685.774        3.891   235.2
3.1000         -677.574     -683.679        6.105   369.0
3.1500         -681.996     -687.307        5.312   321.0
3.2000         -685.167     -688.704        3.537   213.8
3.2500         -679.767     -685.893        6.126   370.3
3.3000         -677.200     -682.989        5.789   349.9
3.3500         -684.597     -687.929        3.332   201.4
3.4000         -684.437     -688.115        3.678   222.3
3.4500         -677.115     -683.953        6.839   413.3
3.5000         -682.577     -687.140        4.564   275.8
3.5500         -684.617     -688.094        3.477   210.1
3.6000         -678.459     -684.446        5.987   361.9
3.6500         -681.063     -686.188        5.125   309.8
3.7000         -685.578     -688.314        2.736   165.4
3.7500         -680.316     -685.979        5.663   342.3
3.8000         -676.640     -684.262        7.622   460.7
3.8500         -684.304     -688.200        3.896   235.5
3.9000         -684.621     -688.242        3.621   218.8
3.9500         -677.207     -683.719        6.512   393.6
4.0000         -680.603     -684.846        4.243   256.5
4.0500         -684.247     -688.504        4.257   257.3
4.1000         -682.080     -687.106        5.026   303.8
4.1500         -678.886     -685.608        6.722   406.3
4.2000         -682.770     -687.116        4.347   262.7
4.2500         -683.049     -686.747        3.698   223.5
4.3000         -679.692     -684.768        5.077   306.8
4.3500         -680.443     -685.867        5.424   327.8
4.4000         -684.549     -688.573        4.024   243.2
4.4500         -682.290     -687.112        4.822   291.4
4.5000         -676.439     -682.188        5.748   347.4
4.5500         -682.826     -686.713        3.887   234.9
4.6000         -685.641     -688.771        3.129   189.1
4.6500         -679.537     -685.182        5.644   341.1
4.7000         -677.674     -685.349        7.675   463.9
4.7500         -684.900     -688.295        3.395   205.2
4.8000         -682.825     -687.010        4.185   252.9
4.8500         -677.696     -684.154        6.458   390.3
4.9000         -683.976     -687.288        3.313   200.2
4.9500         -683.370     -687.834        4.465   269.8
5.0000         -676.719     -685.054        8.335   503.8
