Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0500         -681.370     -687.958        6.588   398.2
0.1000         -672.962     -679.769        6.807   411.4
0.1500         -684.762     -687.320        2.558   154.6
0.2000         -686.053     -688.284        2.231   134.8
0.2500         -676.415     -685.165        8.751   528.9
0.3000         -680.033     -685.876        5.843   353.2
0.3500         -684.626     -688.721        4.094   247.5
0.4000         -680.121     -686.363        6.242   377.3
0.4500         -680.372     -684.761        4.389   265.3
0.5000         -684.132     -687.544        3.412   206.2
0.5500         -681.931     -686.329        4.398   265.8
0.6000         -677.651     -684.691        7.040   425.5
0.6500         -680.564     -686.705        6.141   371.2
0.7000         -685.294     -688.917        3.623   219.0
0.7500         -681.525     -685.943        4.418   267.0
0.8000         -676.131     -681.576        5.445   329.1
0.8500         -680.440     -685.471        5.031   304.0
0.9000         -685.785     -689.326        3.541   214.0
0.9500         -681.543     -686.101        4.558   275.5
1.0000         -674.985     -683.156        8.171   493.9
1.0500         -682.983     -686.759        3.776   228.2
1.1000         -684.472     -687.731        3.259   197.0
1.1500         -678.084     -685.575        7.491   452.8
1.2000         -682.678     -687.256        4.578   276.7
1.2500         -683.502     -687.092        3.590   217.0
1.3000         -676.901     -683.878        6.977   421.7
1.3500         -680.996     -685.650        4.654   281.3
1.4000         -685.040     -688.844        3.804   229.9
1.4500         -682.055     -687.311        5.255   317.6
1.5000         -676.317     -682.298        5.981   361.5
1.5500         -680.546     -686.468        5.922   357.9
1.6000         -684.762     -688.614        3.852   232.8
1.6500         -682.895     -687.407        4.512   272.7
1.7000         -677.333     -683.458        6.125   370.2
1.7500         -679.734     -685.346        5.613   339.2
1.8000         -684.609     -688.657        4.048   244.7
1.8500         -682.243     -686.868        4.626   279.6
1.9000         -678.909     -684.646        5.738   346.8
1.9500         -684.026     -687.415        3.389   204.8
2.0000         -681.911     -685.765        3.854   233.0
2.0500         -676.526     -684.415        7.888   476.8
2.1000         -685.112     -688.756        3.644   220.3
2.1500         -684.278     -687.688        3.411   206.1
2.2000         -674.469     -682.546        8.076   488.1
2.2500         -680.157     -684.302        4.145   250.5
2.3000         -685.703     -688.780        3.077   186.0
2.3500         -681.677     -687.055        5.377   325.0
2.4000         -678.292     -683.604        5.312   321.1
2.4500         -679.869     -685.733        5.864   354.4
2.5000         -684.105     -688.366        4.261   257.5
2.5500         -682.219     -686.560        4.340   262.3
2.6000         -677.896     -685.002        7.106   429.5
2.6500         -683.088     -687.035        3.947   238.5
2.7000         -683.313     -687.129        3.815   230.6
2.7500         -676.781     -684.914        8.133   491.6
2.8000         -682.634     -687.157        4.523   273.4
2.8500         -685.244     -688.816        3.572   215.9
2.9000         -678.583     -684.981        6.397   386.7
2.9500         -677.142     -683.183        6.041   365.1
3.0000         -684.340     -688.759        4.419   267.1
3.0500         -685.760     -688.405        2.644   159.8
3.1000         -675.046     -682.275        7.229   436.9
3.1500         -679.472     -685.208        5.737   346.7
3.2000         -685.816     -688.399        2.583   156.1
3.2500         -681.288     -687.253        5.966   360.6
3.3000         -678.464     -683.855        5.390   325.8
3.3500         -684.016     -687.442        3.426   207.1
3.4000         -682.046     -686.649        4.602   278.2
3.4500         -678.546     -683.852        5.305   320.6
3.5000         -683.879     -687.878        3.998   241.7
3.5500         -684.468     -687.942        3.474   210.0
3.6000         -677.251     -682.933        5.682   343.4
3.6500         -678.758     -685.570        6.812   411.7
3.7000         -686.032     -688.809        2.777   167.8
3.7500         -682.600     -687.221        4.621   279.3
3.8000         -676.102     -683.102        7.000   423.1
3.8500         -681.286     -685.610        4.325   261.4
3.9000         -684.298     -688.401        4.102   247.9
3.9500         -681.338     -686.681        5.343   322.9
4.0000         -679.693     -685.188        5.495   332.1
4.0500         -682.332     -686.682        4.350   262.9
4.1000         -682.412     -686.731        4.319   261.0
4.1500         -678.770     -684.544        5.773   348.9
4.2000         -682.481     -687.888        5.407   326.8
4.2500         -684.513     -688.037        3.523   212.9
4.3000         -679.201     -684.669        5.468   330.5
4.3500         -676.414     -683.363        6.949   420.0
4.4000         -684.945     -688.465        3.519   212.7
4.4500         -684.673     -688.594        3.921   237.0
4.5000         -677.050     -683.005        5.955   359.9
4.5500         -679.361     -684.480        5.120   309.4
4.6000         -684.996     -688.568        3.572   215.9
4.6500         -682.710     -686.718        4.008   242.2
4.7000         -677.497     -684.544        7.047   425.9
4.7500         -684.455     -687.634        3.179   192.1
4.8000         -682.325     -686.283        3.958   239.2
4.8500         -676.834     -684.406        7.572   457.6
4.9000         -684.469     -687.687        3.218   194.5
4.9500         -684.473     -688.090        3.617   218.6
5.0000         -675.591     -683.204        7.612   460.1
