epoch              loss   RMSE_Etot_per_atom            RMSE_F      time
    1  4.3766722273e+02     4.0858040730e-02  2.2227259395e-01   49.9775
    2  5.8113371223e+00     4.7068736758e-03  6.0216142396e-02   47.9762
    3  7.0267533378e-01     1.6359930467e-03  3.2464294537e-02   48.0072
    4  5.0862459719e-01     1.3916335589e-03  3.0740890525e-02   47.9571
    5  2.2249762296e-01     9.1940597619e-04  3.0089420902e-02   48.0482
    6  2.0109516876e-01     8.7390510353e-04  2.9885455536e-02   47.9152
    7  9.4104830473e-02     5.9637650624e-04  2.9485609678e-02   47.8795
    8  7.0010400428e-02     5.1358646999e-04  2.9400665148e-02   48.0968
    9  5.5755981070e-02     4.5769315149e-04  2.9004551935e-02   48.0219
   10  3.8633060130e-02     3.7976614861e-04  2.8740951209e-02   47.9728
   11  3.5463174978e-02     3.6349505692e-04  2.8747877723e-02   47.8014
   12  3.3446033010e-02     3.5278086157e-04  2.8654414641e-02   47.8367
   13  3.4467303819e-02     3.5825455268e-04  2.8672023387e-02   47.8078
   14  2.5550355852e-02     3.0715519775e-04  2.8610480744e-02   47.9751
   15  2.5909080345e-02     3.0941317826e-04  2.8501357657e-02   47.9653
   16  2.3100780387e-02     2.9158251588e-04  2.8516700373e-02   48.0083
   17  2.0828929640e-02     2.7634966563e-04  2.8446764461e-02   47.8615
   18  2.0000763357e-02     2.7057542478e-04  2.8441573699e-02   48.0847
   19  1.8737492264e-02     2.6153512931e-04  2.8402097141e-02   47.8822
   20  1.7878063921e-02     2.5518791295e-04  2.8408068159e-02   47.9837
   21  1.7660118257e-02     2.5355905512e-04  2.8395514437e-02   47.8871
   22  1.6678643311e-02     2.4607468821e-04  2.8374330715e-02   47.8998
   23  1.5671115683e-02     2.3812988605e-04  2.8390478567e-02   48.0103
   24  1.4592451357e-02     2.2933780416e-04  2.8368477447e-02   47.9445
   25  1.3856249556e-02     2.2312374131e-04  2.8383431774e-02   48.1240
   26  1.3092149705e-02     2.1645392699e-04  2.8462250732e-02   47.8842
   27  1.2259923170e-02     2.0899437909e-04  2.8457459757e-02   47.8772
   28  1.1934521493e-02     2.0603310232e-04  2.8400761634e-02   47.9869
   29  1.1358639166e-02     2.0064115166e-04  2.8382067948e-02   48.1109
   30  1.0945481779e-02     1.9667183379e-04  2.8386644955e-02   48.1853
